id,minute,second,period,playerName,playerId,teamId,h_a,x,y,type,outcomeType,qualifiers
2944996627.0,78,19.0,SecondHalf,Lewis Ferguson,396971,424,h,71.1,32.5,BlockedPass,Successful,"[{""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""813""}, {""type"": ""Defensive""}]"
2944996639.0,78,23.0,SecondHalf,Grant Hanley,86593,424,h,42.4,24.1,BallRecovery,Successful,[]
2944996661.0,78,37.0,SecondHalf,Noussair Mazraoui,349932,495,a,8.8,75.7,Clearance,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""BlockedCross""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""608""}]"
2944996673.0,78,39.0,SecondHalf,Ayyoub Bouaddi,504830,495,a,15.4,88.1,BallRecovery,Successful,[]
2944996685.0,78,52.0,SecondHalf,John McGinn,318449,424,h,28.9,57.5,BallRecovery,Successful,[]
2944996697.0,78,59.0,SecondHalf,Brahim Díaz,317541,495,a,40.4,21.8,BallRecovery,Successful,[]
2944996813.0,80,19.0,SecondHalf,Lewis Ferguson,396971,424,h,60.8,92.0,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Left""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""850""}, {""type"": ""Defensive""}]"
2944996871.0,81,3.0,SecondHalf,Lewis Ferguson,396971,424,h,62.5,95.6,BallRecovery,Successful,[]
2944996921.0,81,31.0,SecondHalf,Neil El Aynaoui,486734,495,a,14.8,51.8,BallRecovery,Successful,[]
2944996941.0,81,52.0,SecondHalf,Angus Gunn,318896,424,h,2.8,52.7,KeeperPickup,Successful,[]
2944997079.0,84,7.0,SecondHalf,Chadi Riad,454342,495,a,51.4,68.8,BlockedPass,Successful,"[{""type"": ""Zone"", ""value"": ""Center""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""647""}, {""type"": ""Defensive""}]"
2944997117.0,84,37.0,SecondHalf,Chadi Riad,454342,495,a,7.4,66.8,Save,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OutfielderBlock""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""657""}]"
2944997187.0,85,43.0,SecondHalf,Neil El Aynaoui,486734,495,a,34.7,59.1,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944997201.0,85,47.0,SecondHalf,Noussair Mazraoui,349932,495,a,25.1,90.9,BallRecovery,Successful,[]
2944997219.0,85,58.0,SecondHalf,Angus Gunn,318896,424,h,14.5,32.4,KeeperPickup,Successful,[]
2944997251.0,86,32.0,SecondHalf,Chemsdine Talbi,476110,495,a,16.2,91.6,BallRecovery,Successful,[]
2944997269.0,86,56.0,SecondHalf,Andy Robertson,115726,424,h,37.4,81.8,BallRecovery,Successful,[]
2944997331.0,87,39.0,SecondHalf,Neil El Aynaoui,486734,495,a,9.4,60.6,Interception,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}]"
2944997345.0,87,40.0,SecondHalf,Chadi Riad,454342,495,a,7.2,57.8,Save,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""OutfielderBlock""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""694""}]"
2944997351.0,87,44.0,SecondHalf,Yassine Bounou,136220,495,a,4.4,54.1,KeeperPickup,Successful,[]
2944997431.0,88,56.0,SecondHalf,Yassine Bounou,136220,495,a,13.1,54.8,KeeperPickup,Successful,[]
2944997457.0,89,11.0,SecondHalf,Lewis Ferguson,396971,424,h,35.1,11.6,Tackle,Successful,"[{""type"": ""Zone"", ""value"": ""Back""}, {""type"": ""StandingSave""}, {""type"": ""OppositeRelatedEvent"", ""value"": ""900""}, {""type"": ""Defensive""}]"
