playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Ché Adams,256419,424,h,33.7,73.3,17,42.0,Pass,FirstHalf
Kieran Tierney,297403,424,h,24.7,78.2,17,44.0,Pass,FirstHalf
Angus Gunn,318896,424,h,6.8,44.0,17,48.0,Pass,FirstHalf
Noussair Mazraoui,349932,495,a,36.3,73.2,17,51.0,Pass,FirstHalf
,,495,a,38.7,71.8,17,57.0,Foul,FirstHalf
Ayyoub Bouaddi,504830,495,a,37.3,72.1,18,4.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,32.6,46.7,18,10.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,37.4,26.1,18,12.0,Pass,FirstHalf
Brahim Díaz,317541,495,a,31.6,10.1,18,20.0,Pass,FirstHalf
Issa Diop,300359,495,a,24.7,25.2,18,22.0,Pass,FirstHalf
Chadi Riad,454342,495,a,29.2,64.0,18,30.0,Pass,FirstHalf
Issa Diop,300359,495,a,29.7,26.4,18,34.0,Pass,FirstHalf
Achraf Hakimi,320834,495,a,43.1,4.6,18,37.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,37.4,27.5,18,40.0,Pass,FirstHalf
Chadi Riad,454342,495,a,31.6,57.4,18,44.0,Pass,FirstHalf
Issa Diop,300359,495,a,33.8,21.3,18,47.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,54.7,6.3,18,51.0,Pass,FirstHalf
Neil El Aynaoui,486734,495,a,46.9,25.4,18,53.0,Pass,FirstHalf
Azzedine Ounahi,392361,495,a,46.9,7.7,18,56.0,Pass,FirstHalf
Kieran Tierney,297403,424,h,5.6,88.9,19,1.0,Clearance,FirstHalf
Achraf Hakimi,320834,495,a,99.5,0.5,19,34.0,Pass,FirstHalf
Grant Hanley,86593,424,h,9.2,44.6,19,36.0,Clearance,FirstHalf
