playerName,playerId,teamId,h_a,x,y,minute,second,type,period
Julián Quiñones,509557,972,h,42.6,64.3,12,50.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,41.0,33.1,12,57.0,Pass,FirstHalf
Érik Lira,447638,972,h,54.1,32.7,12,58.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,39.4,27.3,13,1.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,33.9,44.8,13,3.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,38.8,85.3,13,6.0,Pass,FirstHalf
Luis Romo,447635,972,h,38.7,73.5,13,8.0,Pass,FirstHalf
Lee Han-Beom,531031,1159,a,37.6,3.8,13,12.0,Pass,FirstHalf
Luis Romo,447635,972,h,52.0,81.2,13,14.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,52.0,85.4,13,19.0,Pass,FirstHalf
Érik Lira,447638,972,h,45.9,65.8,13,23.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,42.3,47.2,13,26.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,42.1,67.2,13,34.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,32.7,46.3,13,36.0,Pass,FirstHalf
Roberto Alvarado,447636,972,h,42.0,31.9,13,40.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,35.7,45.8,13,42.0,Pass,FirstHalf
Brian Gutiérrez,396565,972,h,43.1,58.8,13,45.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,34.9,62.1,13,47.0,Pass,FirstHalf
Luis Romo,447635,972,h,42.1,90.8,13,50.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,33.2,66.7,13,54.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,31.2,39.7,13,57.0,Pass,FirstHalf
Jorge Sánchez,447643,972,h,35.0,15.2,13,59.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,29.4,44.2,14,2.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,26.4,60.3,14,3.0,Pass,FirstHalf
Luis Romo,447635,972,h,32.0,82.8,14,7.0,Pass,FirstHalf
Paik Seung-Ho,362786,1159,a,45.7,46.6,14,10.0,Pass,FirstHalf
Érik Lira,447638,972,h,40.3,61.7,14,11.0,Pass,FirstHalf
Raúl Jiménez,108186,972,h,48.6,54.6,14,12.0,Pass,FirstHalf
Luis Romo,447635,972,h,42.6,68.1,14,14.0,Pass,FirstHalf
Jesús Gallardo,252248,972,h,67.1,84.1,14,18.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,31.6,32.6,14,21.0,Clearance,FirstHalf
Johan Vásquez,425115,972,h,43.3,70.9,14,26.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,43.0,44.8,14,32.0,Pass,FirstHalf
Johan Vásquez,425115,972,h,52.3,64.8,14,40.0,Pass,FirstHalf
Edson Álvarez,322696,972,h,46.5,39.4,14,44.0,Pass,FirstHalf
Raúl Jiménez,108186,972,h,61.5,42.0,14,46.0,Dispossessed,FirstHalf
Kim Min-Jae,370912,1159,a,38.5,58.0,14,46.0,Tackle,FirstHalf
Paik Seung-Ho,362786,1159,a,39.7,66.5,14,49.0,Pass,FirstHalf
Lee Jae-Sung,142959,1159,a,43.0,73.0,14,51.0,Foul,FirstHalf
Paik Seung-Ho,362786,1159,a,42.8,77.3,15,4.0,Pass,FirstHalf
Kim Min-Jae,370912,1159,a,36.8,39.3,15,7.0,Pass,FirstHalf
Lee Kang-In,367780,1159,a,58.0,10.5,15,9.0,OffsidePass,FirstHalf
Edson Álvarez,322696,972,h,25.4,40.7,15,54.0,Pass,FirstHalf
Luis Romo,447635,972,h,28.5,51.2,15,56.0,Pass,FirstHalf
Julián Quiñones,509557,972,h,39.4,74.7,15,59.0,BallTouch,FirstHalf
Kim Moon-Hwan,414214,1159,a,72.5,34.9,16,2.0,Pass,FirstHalf
Lee Kang-In,367780,1159,a,77.6,17.2,16,7.0,BallTouch,FirstHalf
Julián Quiñones,509557,972,h,25.5,70.6,16,9.0,Pass,FirstHalf
